set,npts,k,QQ,xB,t,ReH_km15,ReE_km15,ReHt_km15,dvcs_km15,fit_ReH,efit_ReH_low,efit_ReH_high,fit_ReE,efit_ReE_low,efit_ReE_high,fit_ReHt,efit_ReHt_low,efit_ReHt_high,fit_dvcs,efit_dvcs_low,efit_dvcs_high,xmi_ReH,exmi_ReH,xmi_ReE,exmi_ReE,xmi_ReHt,exmi_ReHt,xmi_dvcs,exmi_dvcs,sys_ReH,sys_ReE,sys_ReHt,sys_dvcs
70,17,5.75,2.1,0.304,-0.26,-2.7088,1.9901,1.10501,0.0160508,-0.463643,4.21051,2.52214,11.4754,19.4358,0.465179,-2.80746,1.61257,9.43751,0.00234511,0.00209534,0.0200726,-1.30758,0.134865,-2.38776,0.513885,2.92434,0.431034,0.009101,0.00134873,0.525388,2.82792,1.68483,0.00247091
71,15,5.75,2.1,0.304,-0.34,-2.66225,1.81615,0.872244,0.0134673,-1.07664,3.51523,3.23735,10.4023,17.667,0.494575,-3.21823,0.270742,8.4517,0.0052917,0.00514272,0.0159114,-1.42349,0.299487,0.681449,3.13121,1.76132,0.787713,0.0111611,0.000958814,0.895204,2.52511,1.5884,0.00284006
72,14,5.75,2.1,0.305,-0.45,-2.54793,1.61191,0.622996,0.0109045,-0.53681,5.52607,0.726747,-1.79664,9.26884,9.26884,0.612682,3.6654e-09,6.22996,0.0156731,0.00271856,0.0125244,-1.13029,0.397575,0.951708,2.15706,0.953793,0.724509,0.016518,0.00101295,0.427961,3.08392,2.55451,0.00311271
73,2,5.75,2.56,0.301,-0.12,-2.65451,2.36094,1.66247,0.0124105,-15.927,3.90799e-14,25.3838,13.8811,21.1335,21.1335,-6.64987,7.84692e-07,16.6247,0.0996985,0.0995805,0.0914059,0,0,0,0,0,0,0,0,7.85754,5.58347,4.66401,0.103178
74,12,5.75,2.58,0.304,-0.15,-2.68174,2.27322,1.52054,0.011094,0.778872,8.74356,4.19789,-2.90657,6.18629,16.5459,-0.221807,5.86036,9.34506,0.0068902,0.00677707,0.047048,-1.36902,0.480758,2.44624,5.55489,3.94376,1.88334,0.0133921,0.00262173,1.18059,4.68393,2.28289,0.0036988
75,24,5.75,2.58,0.304,-0.2,-2.71141,2.1375,1.31581,0.00967831,-0.187133,4.09184,4.85528,12.8031,21.3531,0.0218938,0.559064,5.82231,7.3358,0.0063064,0.00620953,0.0121385,-0.455896,0.410562,4.52629,4.08358,3.23826,0.777276,0.00901753,0.00116646,2.46768,7.57069,4.25775,0.00639856
76,24,5.75,2.58,0.305,-0.26,-2.70491,1.9901,1.1049,0.00835058,1.26425,3.16669,5.39305,-6.21202,1.74838,18.1526,6.62724,11.0468,0.00214854,0.0159727,0.0132451,0.00589885,2.11614,0.425103,2.53977,4.45669,1.61211,0.87677,0.0123278,0.00144725,1.00327,1.7954,2.31452,0.00238183
77,22,5.75,2.58,0.305,-0.34,-2.65837,1.81615,0.872597,0.00699966,1.12692,4.74777,3.46404,2.65343,9.29622,9.29622,4.24097,0.014812,8.71116,0.015295,0.00466983,0.00953832,2.30788,0.57782,0.470109,3.2848,1.79221,0.765643,0.0131253,0.00101624,0.484233,3.21869,2.30977,0.00109366
78,20,5.75,2.58,0.305,-0.45,-2.54793,1.61191,0.622996,0.0056494,3.63373,4.18559,4.80242,8.26304,14.7107,1.40842,-2.49198,8.99799e-07,6.22996,0.0133304,0.00426377,0.00680873,3.81359,0.458234,0.550976,3.06998,1.44426,0.827806,0.0153047,0.00064406,1.34897,4.91328,2.10752,0.00305031
79,8,5.75,2.22,0.333,-0.16,-2.59188,2.24506,1.45038,0.017413,-0.0468033,15.5045,12.2169,-4.62744,4.35279,18.0978,-1.54777,4.25375,10.25,0.0259844,0.0258868,0.100515,0,0,0,0,0,0,0,0,5.24317,4.91828,1.45905,0.139369
